"","location","date","new_deaths","total_deaths","new_cases","total_cases","new_tests","total_tests","positive_rate","people_fully_vaccinated","icu_patients","hosp_patients","reproduction_rate","population"
"1","Vietnam",2020-01-03,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"2","Vietnam",2020-01-04,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"3","Vietnam",2020-01-05,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"4","Vietnam",2020-01-06,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"5","Vietnam",2020-01-07,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"6","Vietnam",2020-01-08,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"7","Vietnam",2020-01-09,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"8","Vietnam",2020-01-10,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"9","Vietnam",2020-01-11,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"10","Vietnam",2020-01-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"11","Vietnam",2020-01-13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"12","Vietnam",2020-01-14,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"13","Vietnam",2020-01-15,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"14","Vietnam",2020-01-16,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"15","Vietnam",2020-01-17,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"16","Vietnam",2020-01-18,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"17","Vietnam",2020-01-19,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"18","Vietnam",2020-01-20,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"19","Vietnam",2020-01-21,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"20","Vietnam",2020-01-22,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"21","Vietnam",2020-01-23,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"22","Vietnam",2020-01-24,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,98186856
"23","Vietnam",2020-01-25,0,NA,2,2,NA,NA,NA,NA,NA,NA,NA,98186856
"24","Vietnam",2020-01-26,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,98186856
"25","Vietnam",2020-01-27,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,98186856
"26","Vietnam",2020-01-28,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,98186856
"27","Vietnam",2020-01-29,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,98186856
"28","Vietnam",2020-01-30,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,98186856
"29","Vietnam",2020-01-31,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,98186856
"30","Vietnam",2020-02-01,0,NA,3,5,NA,NA,NA,NA,NA,NA,NA,98186856
"31","Vietnam",2020-02-02,0,NA,1,6,NA,NA,NA,NA,NA,NA,NA,98186856
"32","Vietnam",2020-02-03,0,NA,1,7,NA,NA,NA,NA,NA,NA,NA,98186856
"33","Vietnam",2020-02-04,0,NA,0,7,NA,NA,NA,NA,NA,NA,NA,98186856
"34","Vietnam",2020-02-05,0,NA,3,10,NA,NA,NA,NA,NA,NA,NA,98186856
"35","Vietnam",2020-02-06,0,NA,0,10,NA,NA,NA,NA,NA,NA,NA,98186856
"36","Vietnam",2020-02-07,0,NA,2,12,NA,NA,NA,NA,NA,NA,NA,98186856
"37","Vietnam",2020-02-08,0,NA,1,13,NA,NA,NA,NA,NA,NA,NA,98186856
"38","Vietnam",2020-02-09,0,NA,0,13,NA,NA,NA,NA,NA,NA,NA,98186856
"39","Vietnam",2020-02-10,0,NA,1,14,NA,NA,NA,NA,NA,NA,NA,98186856
"40","Vietnam",2020-02-11,0,NA,0,14,NA,NA,NA,NA,NA,NA,NA,98186856
"41","Vietnam",2020-02-12,0,NA,1,15,NA,NA,NA,NA,NA,NA,NA,98186856
"42","Vietnam",2020-02-13,0,NA,0,15,NA,NA,NA,NA,NA,NA,NA,98186856
"43","Vietnam",2020-02-14,0,NA,1,16,NA,NA,NA,NA,NA,NA,NA,98186856
